Ime;Narodnost;Položaj;Ekipa;Starost;Odigrane tekme;Minute;Goli;Asistence;Rumeni kartoni;Rdeči kartoni
Mateo Kovačić;CRO;MF;Manchester City;29;30;1551;1;0;4;0
Emil Krafth;SWE;DF;Newcastle Utd;28;17;913;0;0;2;0
Mohammed Kudus;GHA;FW, MF;West Ham;22;33;2484;8;6;6;0
Dejan Kulusevski;SWE;FW, MF;Tottenham;23;36;2762;8;3;7;0
Adam Lallana;ENG;MF, FW;Brighton;35;25;850;0;1;2;0
Tariq Lamptey;GHA;DF, FW;Brighton;22;19;914;0;3;3;0
Aymeric Laporte;ESP;DF;Manchester City;29;1;12;0;0;0;0
Yasser Larouci;ALG;DF;Sheffield Utd;22;11;531;0;0;1;0
Jamaal Lascelles;ENG;DF;Newcastle Utd;29;16;1080;1;0;4;0
Roméo Lavia;BEL;MF;Chelsea;19;1;33;0;0;0;0
Mario Lemina;GAB;MF;Wolves;29;35;2968;4;1;12;1
Clément Lenglet;FRA;DF;Aston Villa;28;14;1153;0;1;3;0
Bernd Leno;GER;GK;Fulham;31;38;3420;0;0;3;0
Jefferson Lerma;COL;MF, DF;Crystal Palace;28;28;2400;1;1;8;0
Rico Lewis;ENG;DF, MF;Manchester City;18;16;809;2;0;1;0
Keane Lewis-Potter;ENG;FW, DF;Brentford;22;30;1441;3;1;0;0
Victor Lindelöf;SWE;DF;Manchester Utd;29;19;1328;1;1;2;0
Valentino Livramento;ENG;DF;Newcastle Utd;20;26;1314;1;0;1;0
Giovani Lo Celso;ARG;MF;Tottenham;27;22;506;2;2;2;0
Tom Lockyer;WAL;DF;Luton Town;28;14;1169;1;1;4;0
Sean Longstaff;ENG;MF;Newcastle Utd;25;35;2747;6;2;7;0
Max Lowe;ENG;DF, MF;Sheffield Utd;26;10;503;0;0;1;0
Douglas Luiz;BRA;MF;Aston Villa;25;35;2993;9;5;12;0
Saša Lukić;SRB;MF;Fulham;26;24;1122;1;0;3;0
Ian Maatsen;NED;FW, MF;Chelsea;21;12;209;0;0;1;0
Alexis Mac Allister;ARG;MF;Liverpool;24;33;2599;5;5;7;1
James Maddison;ENG;MF;Tottenham;26;28;2135;4;9;5;0
Noni Madueke;ENG;FW;Chelsea;21;23;1053;5;2;2;0
Gabriel Magalhães;BRA;DF;Arsenal;25;36;3044;4;0;4;0
Harry Maguire;ENG;DF;Manchester Utd;30;22;1653;2;2;4;0
Kobbie Mainoo;ENG;MF;Manchester Utd;18;24;1924;3;1;3;0
Orel Mangala;BEL;MF;Nott'ham Forest;25;20;1563;1;0;6;0
Benson Manuel;ANG;MF, FW;Burnley;26;8;116;0;0;0;0
Solly March;ENG;FW, DF;Brighton;29;7;554;3;1;1;0
Anthony Martial;FRA;FW;Manchester Utd;27;13;448;1;0;0;0
Gabriel Martinelli;BRA;FW;Arsenal;22;35;2019;6;4;1;0
Emiliano Martínez;ARG;GK;Aston Villa;30;34;3015;0;0;4;0
Lisandro Martínez;ARG;DF;Manchester Utd;25;11;646;0;1;3;0
Han-Noah Massengo;FRA;MF, DF;Burnley;22;3;16;0;0;0;0
Pape Matar Sarr;SEN;MF;Tottenham;20;34;2069;3;3;9;0
Jean-Philippe Mateta;FRA;FW;Crystal Palace;26;35;2282;16;5;3;0
Joël Matip;CMR;DF;Liverpool;31;10;781;0;0;2;0
Alex Matos;ENG;MF;Chelsea;18;1;1;0;0;0;0
Remi Matthews;ENG;GK;Crystal Palace;29;1;4;0;0;0;0
Neal Maupay;FRA;FW;Brentford;26;29;1321;6;3;8;0
Neal Maupay;FRA;FW;Everton;26;2;111;0;0;0;0
Konstantinos Mavropanos;GRE;DF;West Ham;25;19;1500;1;0;2;0
Bryan Mbeumo;CMR;FW;Brentford;23;25;1960;9;6;2;0
James Mcatee;ENG;MF, FW;Sheffield Utd;20;30;1822;3;3;2;0
James Mcatee;ENG;MF;Manchester City;20;1;1;0;0;0;0
Oliver McBurnie;SCO;FW;Sheffield Utd;27;21;1280;6;3;7;2
James McConnell;ENG;MF;Liverpool;18;3;4;0;0;0;0
John McGinn;SCO;MF, FW;Aston Villa;28;35;2999;6;4;9;1
Scott McKenna;SCO;DF;Nott'ham Forest;26;5;416;0;0;0;0
Dwight McNeil;ENG;MF, FW;Everton;23;35;2892;3;6;2;0
Scott McTominay;SCO;MF, FW;Manchester Utd;26;32;1901;7;1;2;0
Ben Mee;ENG;DF;Brentford;33;16;1272;2;0;1;1
Hannibal Mejbri;TUN;MF, FW;Manchester Utd;20;5;133;1;0;1;0
Teden Mengi;ENG;DF;Luton Town;21;30;2469;1;0;3;0
Chris Mepham;WAL;DF;Bournemouth;25;10;617;0;1;2;0
Lewis Miley;ENG;MF;Newcastle Utd;17;17;1202;1;3;1;0
James Milner;ENG;DF, MF;Brighton;37;15;773;0;2;3;0
Tyrone Mings;ENG;DF;Aston Villa;30;1;30;0;0;0;0
Tyrick Mitchell;ENG;DF, MF;Crystal Palace;23;37;3204;2;3;6;0
Kaoru Mitoma;JPN;FW;Brighton;26;19;1486;3;4;4;0
Aleksandar Mitrović;SRB;FW;Fulham;28;1;33;0;0;0;0
Jakub Moder;POL;MF, DF;Brighton;24;17;618;0;0;2;0
Gonzalo Montiel;ARG;DF;Nott'ham Forest;26;14;801;0;2;5;0
Kieffer Moore;WAL;FW, MF;Bournemouth;30;8;108;1;0;0;0
Mikey Moore;ENG;MF;Tottenham;15;2;4;0;0;0;0
Álex Moreno;ESP;DF;Aston Villa;30;21;1031;2;0;2;0
Carlton Morris;ENG;FW, MF;Luton Town;27;38;2862;11;4;4;0
Mason Mount;ENG;MF, FW;Manchester Utd;24;14;516;1;0;2;0
Divin Mubama;ENG;FW;West Ham;18;5;80;0;0;0;0
Mykhailo Mudryk;UKR;FW;Chelsea;22;31;1576;5;2;5;0
Rodrigo Muniz;BRA;FW;Fulham;22;26;1593;9;1;1;0
Daniel Muñoz;COL;DF, MF;Crystal Palace;27;16;1439;0;4;4;0
Finley Munroe;ENG;MF;Aston Villa;18;1;4;0;0;0;0
Arijanet Muric;KVX;GK;Burnley;24;10;900;0;0;0;0
Murillo;BRA;DF;Nott'ham Forest;21;32;2789;0;2;5;0
Alex Murphy;IRL;DF, FW;Newcastle Utd;19;2;13;0;0;0;0
Jacob Murphy;ENG;FW, DF;Newcastle Utd;28;21;1189;3;7;1;0
Vitaliy Mykolenko;UKR;DF;Everton;24;28;2469;2;0;1;0
Marvelous Nakamba;ZIM;MF;Luton Town;29;13;1130;0;0;5;0
Michael Ndiweni;ENG;FW;Newcastle Utd;19;1;1;0;0;0;0
Reiss Nelson;ENG;FW;Arsenal;23;15;268;0;0;1;0
Zack Nelson;ENG;MF, DF;Luton Town;18;2;7;0;0;0;0
Neto;BRA;GK;Bournemouth;34;32;2880;0;0;5;0
Pedro Neto;POR;FW, MF;Wolves;23;20;1516;2;9;4;0
Moussa Niakhate;SEN;DF;Nott'ham Forest;27;21;1460;1;0;5;1
Eddie Nketiah;ENG;FW;Arsenal;24;27;1082;5;2;3;0
Christopher Nkunku;FRA;FW, MF;Chelsea;25;11;443;3;0;0;0
Rhys Norrington-Davies;WAL;DF;Sheffield Utd;24;5;110;0;0;1;0
Oliver Norwood;NIR;MF;Sheffield Utd;32;27;1440;1;0;8;0
Matheus Nunes;POR;MF;Wolves;24;2;179;0;0;2;1
Matheus Nunes;POR;MF;Manchester City;24;17;661;0;2;0;0
Darwin Núñez;URU;FW;Liverpool;24;36;2047;11;8;9;0
Ethan Nwaneri;ENG;FW;Arsenal;16;1;14;0;0;0;0
Christian Nørgaard;DEN;MF;Brentford;29;31;2505;2;1;8;0
Mark O'Mahony;IRL;FW;Brighton;18;3;63;0;0;1;0
Dara O'Shea;IRL;DF;Burnley;24;33;2892;3;4;5;1
Michael Obafemi;IRL;FW, MF;Burnley;23;2;20;0;0;0;0
Wilson Odobert;FRA;MF, FW;Burnley;18;29;2098;3;2;3;0
Odeluga Offiah;ENG;DF;Brighton;20;4;128;0;0;0;0
Chiedozie Ogbene;IRL;MF, DF;Luton Town;26;30;1995;4;1;1;0
Angelo Ogbonna;ITA;DF;West Ham;35;11;635;0;0;1;0
Michael Olakigbe;ENG;DF, FW;Brentford;19;8;59;0;0;0;0
Michael Olise;FRA;FW, MF;Crystal Palace;21;19;1275;10;6;0;0
Robin Olsen;SWE;GK;Aston Villa;33;5;405;0;0;0;0
Andrew Omobamidele;IRL;DF;Nott'ham Forest;21;11;783;0;0;2;0
Amadou Onana;BEL;MF;Everton;21;30;2091;2;0;5;0
André Onana;CMR;GK;Manchester Utd;27;38;3420;0;0;5;0
Ryan One;SCO;FW;Sheffield Utd;17;1;8;0;0;0;0
Tyler Onyango;ENG;MF;Everton;20;1;1;0;0;0;0
Fred Onyedinma;ENG;DF, MF;Luton Town;26;8;407;0;0;1;0
Frank Onyeka;NGA;MF;Brentford;25;26;1161;1;2;8;0
Divock Origi;BEL;FW;Nott'ham Forest;28;20;606;0;1;1;0
Stefan Ortega;GER;GK;Manchester City;30;9;635;0;0;0;0
Ben Osborn;ENG;DF, MF;Sheffield Utd;28;24;1367;0;2;3;0
Gabriel Osho;NGA;DF;Luton Town;24;21;1846;2;0;3;0
William Osula;DEN;FW;Sheffield Utd;19;21;786;0;0;4;0
Dango Ouattara;BFA;FW, DF;Bournemouth;21;30;1229;1;2;3;0
David Ozoh;ENG;MF, DF;Crystal Palace;18;9;156;0;0;1;0
João Palhinha;POR;MF;Fulham;28;33;2699;4;1;13;0
Cole Palmer;ENG;FW, MF;Chelsea;21;33;2607;22;11;7;0
Cole Palmer;ENG;MF;Manchester City;21;1;11;0;0;0;0
Emerson Palmieri;ITA;DF;West Ham;28;36;3137;1;2;10;0
Lucas Paquetá;BRA;FW, MF;West Ham;25;31;2622;4;6;10;0
Ben Parkinson;ENG;FW;Newcastle Utd;18;1;25;0;0;0;0
Thomas Partey;GHA;MF, DF;Arsenal;30;14;788;0;0;3;0
Nathan Patterson;SCO;DF;Everton;21;20;1005;0;2;4;0
Myles Peart-Harris;ENG;DF, MF;Brentford;20;3;13;0;0;0;0
Sydie Peck;ENG;MF;Sheffield Utd;18;1;10;0;0;0;0
Facundo Pellistri;URU;FW, MF;Manchester Utd;21;9;172;0;1;0;0
Andreas Pereira;BRA;MF;Fulham;27;37;2613;3;7;6;0
Ivan Perišić;CRO;FW;Tottenham;34;5;103;0;1;2;0
Đorđe Petrović;SRB;GK;Chelsea;23;23;1987;0;0;2;0
Kalvin Phillips;ENG;MF;West Ham;27;8;309;0;0;3;1
Kalvin Phillips;ENG;MF;Manchester City;27;4;93;0;0;0;0
Jaden Philogene Bidace;ENG;FW;Aston Villa;21;1;4;0;0;0;0
Jordan Pickford;ENG;GK;Everton;29;38;3420;0;0;5;0
Ethan Pinnock;JAM;DF;Brentford;30;29;2521;2;0;1;0
Nick Pope;ENG;GK;Newcastle Utd;31;15;1345;0;0;1;0
Pedro Porro;ESP;DF;Tottenham;23;35;3089;3;7;3;0
Jarell Quansah;ENG;DF;Liverpool;20;17;1190;2;0;1;0
Ionuț Radu;ROU;GK;Bournemouth;26;2;180;0;0;0;0
Jesurun Rak Sakyi;ENG;MF, FW;Crystal Palace;20;6;136;0;0;0;0
Aaron Ramsdale;ENG;GK;Arsenal;25;6;540;0;0;0;0
Aaron Ramsey;ENG;MF, FW;Burnley;20;14;527;0;0;1;0
Jacob Ramsey;ENG;FW, MF;Aston Villa;22;16;853;1;1;2;0
Marcus Rashford;ENG;FW;Manchester Utd;25;33;2271;7;2;2;0
David Raya;ESP;GK;Arsenal;27;32;2880;0;0;2;0
Tim Ream;USA;DF;Fulham;35;18;1503;1;0;4;1
Nathan Redmond;ENG;FW, MF;Burnley;29;12;142;0;0;1;0
Harrison Reed;ENG;MF;Fulham;28;27;1325;0;2;6;0
Sergio Reguilón;ESP;DF;Manchester Utd;26;9;412;0;0;3;0
Sergio Reguilón;ESP;DF;Brentford;26;16;1118;0;4;4;1
Bobby Reid;JAM;FW;Fulham;30;33;1423;6;2;4;0
Gio Reyna;USA;FW, MF;Nott'ham Forest;20;9;235;0;1;0;0
Rodrigo Ribeiro;POR;MF, FW;Nott'ham Forest;18;4;17;0;0;0;0
Declan Rice;ENG;MF;Arsenal;24;38;3225;7;8;5;0
Chris Richards;USA;DF, MF;Crystal Palace;23;26;2094;1;1;3;0
Richarlison;BRA;FW;Tottenham;26;28;1491;11;4;3;0
Jaïro Riedewald;NED;MF, FW;Crystal Palace;26;9;235;0;0;0;0
Matt Ritchie;SCO;FW, MF;Newcastle Utd;33;13;128;1;0;1;0
Connor Roberts;WAL;DF;Burnley;27;14;823;0;1;5;1
Andrew Robertson;SCO;DF;Liverpool;29;23;1693;3;2;2;0
Antonee Robinson;USA;DF;Fulham;25;37;3265;0;6;6;0
Jack Robinson;ENG;DF;Sheffield Utd;29;34;2885;1;1;10;0
Rodri;ESP;MF;Manchester City;27;34;2931;8;9;8;1
Jay Rodriguez;ENG;FW;Burnley;34;21;822;2;1;0;0
Mads Roerslev;DEN;DF;Brentford;24;34;1985;1;2;1;0
Morgan Rogers;ENG;MF, FW;Aston Villa;21;11;638;3;1;3;0
Cristian Romero;ARG;DF;Tottenham;25;33;2790;5;0;7;1
Joe Rothwell;ENG;MF;Bournemouth;28;11;386;0;0;0;0
Pelly Ruddock Mpanzu;COD;MF;Luton Town;30;27;1101;0;0;1;0
José Sá;POR;GK;Wolves;30;35;3037;0;1;1;0
Dominic Sadi;ENG;FW;Bournemouth;19;1;1;0;0;0;0
Bukayo Saka;ENG;FW;Arsenal;21;35;2919;16;9;4;0
Mohamed Salah;EGY;FW;Liverpool;31;32;2534;18;10;2;0
William Saliba;FRA;DF;Arsenal;22;38;3420;2;1;4;0
Albert Sambi Lokonga;BEL;MF;Luton Town;23;17;1303;1;3;4;0
Davinson Sánchez;COL;DF;Tottenham;27;1;77;0;0;1;0
Robert Sánchez;ESP;GK;Chelsea;25;16;1433;0;0;2;0
Jadon Sancho;ENG;FW, MF;Manchester Utd;23;3;79;0;0;0;0
Ibrahim Sangaré;CIV;MF;Nott'ham Forest;25;17;1035;0;0;6;0
Andrey Santos;BRA;MF;Nott'ham Forest;19;1;8;0;0;0;0
Pablo Sarabia;ESP;MF, FW;Wolves;31;30;1745;4;7;5;0
Dane Scarlett;ENG;FW;Tottenham;19;4;22;0;0;0;0
Kevin Schade;GER;FW, MF;Brentford;21;11;333;2;1;0;0
Fabian Schär;SUI;DF;Newcastle Utd;31;36;3054;4;1;5;0
Jeffrey Schlupp;GHA;FW, MF;Crystal Palace;30;29;1352;2;2;1;0
Alex Scott;ENG;MF;Bournemouth;19;23;1014;1;1;3;0
Matz Sels;BEL;GK;Nott'ham Forest;31;16;1440;0;0;1;0
Nélson Semedo;POR;DF, MF;Wolves;29;36;3084;0;1;10;1
Antoine Semenyo;GHA;FW;Bournemouth;23;33;2105;8;2;6;0
Marcos Senesi;ARG;DF;Bournemouth;26;31;2242;4;5;13;0
Luke Shaw;ENG;DF;Manchester Utd;28;12;959;0;0;6;0
James Shea;ENG;GK;Luton Town;32;1;15;0;0;0;0
Bernardo Silva;POR;MF, FW;Manchester City;28;33;2578;6;9;8;0
Fábio Silva;POR;FW;Wolves;21;8;264;0;0;2;0
Thiago Silva;BRA;DF;Chelsea;38;31;2527;3;1;4;0
Luis Sinisterra;COL;FW, MF;Bournemouth;24;20;699;2;2;0;0
Oliver Skipp;ENG;MF, DF;Tottenham;22;21;707;0;0;3;0
Adam Smith;ENG;DF;Bournemouth;32;28;2150;0;2;6;0
Emile Smith Rowe;ENG;MF;Arsenal;23;13;353;0;1;0;0
Cédric Soares;POR;DF;Arsenal;31;3;62;0;0;0;0
Dominic Solanke;ENG;FW;Bournemouth;25;38;3325;19;3;3;0
Manor Solomon;ISR;FW;Tottenham;24;5;199;0;2;1;0
Tomáš Souček;CZE;MF;West Ham;28;37;2870;7;2;7;0
Vinicius Souza;BRA;MF;Sheffield Utd;24;36;2668;1;0;3;0
Jason Steele;ENG;GK;Brighton;32;17;1530;0;0;0;0
Raheem Sterling;ENG;FW, MF;Chelsea;28;31;1978;8;4;7;0
John Stones;ENG;DF, MF;Manchester City;29;16;1064;1;0;2;0
Thomas Strakosha;ALB;GK;Brentford;28;2;135;0;0;0;0
Dominik Szoboszlai;HUN;MF;Liverpool;22;33;2104;3;2;1;0
Matt Targett;ENG;DF;Newcastle Utd;27;3;78;0;0;1;0
James Tarkowski;ENG;DF;Everton;30;38;3419;1;1;11;0
Jimi Tauriainen;ENG;FW;Chelsea;19;1;1;0;0;0;0
Nuno Tavares;POR;DF;Nott'ham Forest;23;8;457;0;0;2;0
Marcus Tavernier;ENG;FW;Bournemouth;24;30;2118;3;4;3;0
Charlie Taylor;ENG;DF;Burnley;29;28;2331;1;1;8;0
Kenny Tete;NED;DF;Fulham;27;14;867;1;0;2;0
Luke Thomas;ENG;DF;Sheffield Utd;22;12;917;0;0;3;0
Youri Tielemans;BEL;MF, FW;Aston Villa;26;32;1622;2;6;3;0
Jurriën Timber;NED;DF;Arsenal;22;2;71;0;0;2;0
Harry Toffolo;ENG;DF;Nott'ham Forest;27;23;1459;1;3;3;0
Takehiro Tomiyasu;JPN;DF;Arsenal;24;22;1149;2;1;2;1
James Tomkins;ENG;DF;Crystal Palace;34;4;10;0;0;0;0
Sandro Tonali;ITA;MF;Newcastle Utd;23;8;438;1;0;2;0
Ivan Toney;ENG;FW;Brentford;27;17;1450;4;2;5;0
Pau Torres;ESP;DF;Aston Villa;26;29;2464;2;0;1;0
Andros Townsend;ENG;MF, FW;Luton Town;32;27;1210;1;3;1;0
James Trafford;ENG;GK;Burnley;20;28;2520;0;0;2;0
Adama Traoré;ESP;FW, MF;Fulham;27;17;377;2;3;2;0
Bertrand Traoré;BFA;DF, FW;Aston Villa;27;2;11;0;0;0;0
Boubacar Traoré;MLI;MF;Wolves;21;24;819;0;0;4;0
Mark Travers;IRL;GK;Bournemouth;24;4;360;0;0;0;0
Mike Trésor;BEL;FW, MF;Burnley;24;16;420;0;0;0;0
Kieran Trippier;ENG;DF;Newcastle Utd;32;28;2236;1;10;5;0
Leandro Trossard;BEL;FW, MF;Arsenal;28;34;1649;12;1;2;0
Auston Trusty;USA;DF;Sheffield Utd;24;32;2572;0;0;4;0
Kostas Tsimikas;GRE;DF;Liverpool;27;13;679;0;3;0;0
Matt Turner;USA;GK;Nott'ham Forest;29;17;1530;0;0;2;0
Destiny Udogie;ITA;DF;Tottenham;20;28;2391;2;3;7;1
Lesley Ugochukwu;FRA;MF;Chelsea;19;12;301;0;0;2;0
Enes Ünal;TUR;FW, MF;Bournemouth;26;16;328;2;2;1;0
Virgil van Dijk;NED;DF;Liverpool;32;36;3177;2;2;3;1
Raphaël Varane;FRA;DF;Manchester Utd;30;22;1375;1;0;2;0
Alejo Véliz;ARG;FW;Tottenham;19;8;50;1;0;1;0
Joël Veltman;NED;DF;Brighton;31;27;1588;1;1;4;0
Micky van de Ven;NED;DF;Tottenham;22;27;2339;3;0;5;0
Bart Verbruggen;NED;GK;Brighton;20;21;1890;0;0;3;0
Guglielmo Vicario;ITA;GK;Tottenham;26;38;3420;0;0;2;0
Fabio Vieira;POR;MF, FW;Arsenal;23;11;297;1;2;0;1
Carlos Vinícius;BRA;FW;Fulham;28;13;315;2;0;2;0
Vitinho;BRA;DF, MF;Burnley;24;32;2314;0;2;1;0
Odisseas Vlachodimos;GRE;GK;Nott'ham Forest;29;5;450;0;0;0;0
Kyle Walker;ENG;DF;Manchester City;33;32;2767;0;4;2;0
Aaron Wan-Bissaka;ENG;DF;Manchester Utd;25;22;1780;0;2;4;0
Joel Ward;ENG;DF;Crystal Palace;33;26;1980;0;1;4;0
James Ward-Prowse;ENG;MF;West Ham;28;37;3001;7;7;4;0
Lewis Warrington;ENG;FW;Everton;20;1;1;0;0;0;0
Deivid Washington;BRA;DF, FW;Chelsea;18;2;13;0;0;0;0
Ollie Watkins;ENG;FW;Aston Villa;27;37;3217;19;13;4;0
Adam Webster;ENG;DF;Brighton;28;15;1144;0;0;2;0
Danny Welbeck;ENG;FW, MF;Brighton;32;29;1693;5;1;4;0
Timo Werner;GER;FW;Tottenham;27;13;809;2;3;1;0
Adam Wharton;ENG;MF;Crystal Palace;19;16;1297;0;3;2;0
Ethan Wheatley;ENG;FW;Manchester Utd;17;3;16;0;0;0;0
Ben White;ENG;DF;Arsenal;25;37;2988;4;4;8;0
Joe White;ENG;MF;Newcastle Utd;20;4;13;0;0;1;0
Neco Williams;WAL;DF;Nott'ham Forest;22;26;1637;0;1;4;0
Willian;BRA;FW;Fulham;34;31;2053;4;2;1;0
Joe Willock;ENG;MF;Newcastle Utd;23;9;419;1;0;0;0
Callum Wilson;ENG;FW;Newcastle Utd;31;20;991;9;1;3;0
Harry Wilson;WAL;FW;Fulham;26;35;1620;4;6;6;0
Yoane Wissa;COD;FW;Brentford;26;34;2493;12;3;7;0
Chris Wood;NZL;FW;Nott'ham Forest;31;31;1812;14;1;0;0
Cauley Woodrow;ENG;FW, MF;Luton Town;28;24;427;1;1;2;0
Joe Worrall;ENG;DF;Nott'ham Forest;26;7;439;0;0;0;1
Yehor Yarmoliuk;UKR;MF;Brentford;19;27;688;0;0;2;0
Ryan Yates;ENG;MF;Nott'ham Forest;25;35;1992;1;1;6;0
Ashley Young;ENG;DF, MF;Everton;38;31;2280;0;0;7;1
Illia Zabarnyi;UKR;DF;Bournemouth;20;37;3330;1;0;5;0
Nicolò Zaniolo;ITA;FW, MF;Aston Villa;24;25;839;2;0;7;0
Anass Zaroury;MAR;FW, MF;Burnley;22;6;152;0;0;0;1
Oleksandr Zinchenko;UKR;DF;Arsenal;26;27;1722;1;2;2;0
Kurt Zouma;FRA;DF;West Ham;28;33;2838;3;0;3;0
Martin Ødegaard;NOR;MF;Arsenal;24;35;3091;8;10;2;0
